가구식별번호,조사연도,조사차수,조사구식별번호,시도코드,시도명,행정구역유형,도시농촌구분,층화코드,표본조사구코드,조사일자,응답방식,응답상태,주택유형,점유형태,아파트층수,가구유형,가구원수,가구원수구간,가구주성별,가구주연령,가구주연령대,교육수준코드,교육수준,종사상지위,경제활동상태,산업분류,인터넷이용여부,건강상태등급,삶의만족도점수,지역박탈도백분위,통근시간_분,주당근로시간,월근로소득_만원,월사업소득_만원,월이전소득_만원,월기타소득_만원,월총소득_만원,연간가구소득_만원,세금사회보험료_만원,가처분소득_만원,식료품비_만원,주거비_만원,교육비_만원,보건의료비_만원,교통비_만원,기타지출_만원,월총지출_만원,월저축액_만원,1인당가처분소득_만원,균등화가처분소득_만원,주거비부담률,경제스트레스지수,조사가중치,응답자메모
HH-2025-000015,2025,3,ED-0015,R01,서울특별시,동부,도시,ST-01-동,PSU-0256,2025-04-16,전화,완료,단독주택,전세,0,부부,2,2인,여성,32,30대,5,대학교,상용근로자,취업,공공·교육,Y,3,4,75,38.0,30.5,435,0.0,0,75,510.0,6120.0,53.5,456.5,94,58,1,2,29,20,204,252.5,228.2,322.8,12.7,31.3,1.46,메모-0015: 온라인 조사 후 전화로 일부 항목 보완
HH-2025-000016,2025,4,ED-0016,R02,부산광역시,동부,도시,ST-02-동,PSU-0293,2025-05-23,인터넷,완료,아파트,보증부월세,23,1인가구,1,1인,남성,33,30대,5,대학교,상용근로자,취업,보건·복지,Y,5,4,80,35.0,35.5,240,0.0,50,30,320.0,3840.0,33.6,286.4,69,102,7,2,24,8,212,74.4,286.4,286.4,35.6,32.7,1.825,메모-0016: 교육비와 보건비 영수증을 참고해 응답
HH-2025-000017,2025,1,ED-0017,R01,서울특별시,동부,도시,ST-01-동,PSU-0030,2025-06-29,인터넷,완료,아파트,보증부월세,30,부부,2,2인,여성,34,30대,4,고등학교,상용근로자,취업,운수업,Y,4,5,85,35.5,54.5,435,0.0,25,45,505.0,6060.0,53.0,452.0,90,82,0,4,39,31,246,206.0,226.0,319.6,18.1,30.8,0.685,메모-0017: 응답자가 조사표 작성 기준을 확인함
HH-2025-000018,2025,2,ED-0018,R02,부산광역시,동부,도시,ST-02-동,PSU-0067,2025-08-05,인터넷,완료,단독주택,전세,0,1인가구,1,1인,남성,35,30대,4,고등학교,상용근로자,취업,제조업,Y,2,3,90,59.5,37.0,375,0.0,15,140,530.0,6360.0,55.6,474.4,51,81,0,2,37,39,210,264.4,474.4,474.4,17.1,37.3,1.05,"메모-0018: 생활비, 주거비 항목 재확인"
HH-2025-000019,2025,3,ED-0019,R14,전라남도,동부,도시,ST-14-동,PSU-0104,2025-09-11,전화,완료,오피스텔,자가,0,3세대,5,5인 이상,여성,36,30대,4,고등학교,상용근로자,취업,제조업,Y,5,3,95,48.5,38.5,195,0.0,60,35,290.0,3480.0,15.9,274.1,133,39,42,2,21,49,286,-11.9,54.8,122.6,14.2,36.3,1.415,메모-0019: 가구원 수 변동 내용을 면접원이 확인
HH-2025-000020,2025,4,ED-0020,R01,서울특별시,동부,도시,ST-01-동,PSU-0141,2025-04-21,인터넷,대리응답,아파트,보증부월세,21,1인가구,1,1인,남성,37,30대,4,고등학교,자영업자,취업,정보통신,Y,4,4,100,60.5,48.5,0.0,75,10,10,95.0,1140.0,5.2,89.8,62,86,1,6,31,44,230,-140.2,89.8,89.8,95.8,42.4,1.78,메모-0020: 소득 항목은 월평균 금액으로 응답
HH-2025-000021,2025,1,ED-0021,R06,대전광역시,동부,도시,ST-06-동,PSU-0178,2025-05-28,전화,완료,아파트,자가,28,부부,2,2인,남성,38,30대,5,대학교,상용근로자,취업,금융·전문서비스,Y,5,3,5,21.0,43.0,575,0.0,0,135,710.0,8520.0,120.7,589.3,74,74,0,11,26,27,212,377.3,294.6,416.7,12.6,26.7,0.64,메모-0021: 온라인 조사 후 전화로 일부 항목 보완
HH-2025-000022,2025,2,ED-0022,R01,서울특별시,동부,도시,ST-01-동,PSU-0215,2025-07-04,인터넷,완료,아파트,자가,5,1인가구,1,1인,여성,39,30대,4,고등학교,자영업자,취업,도소매·숙박,Y,4,3,5,67.0,45.5,0.0,250,30,15,295.0,3540.0,16.2,278.8,68,54,0,12,36,19,189,89.8,278.8,278.8,19.4,42.5,1.005,메모-0022: 교육비와 보건비 영수증을 참고해 응답
HH-2025-000023,2025,3,ED-0023,R09,경기도,읍부,농촌,ST-09-읍,PSU-0252,2025-08-10,전화,완료,단독주택,전세,0,1인가구,1,1인,여성,40,40대,5,대학교,상용근로자,취업,기타서비스,Y,5,4,20,9.0,40.0,425,0.0,35,95,555.0,6660.0,58.3,496.7,45,30,0,7,27,35,144,352.7,496.7,496.7,6.0,26.6,1.37,메모-0023: 응답자가 조사표 작성 기준을 확인함
HH-2025-000024,2025,4,ED-0024,R15,경상북도,동부,도시,ST-15-동,PSU-0289,2025-09-16,인터넷,완료,기타,자가,0,1인가구,1,1인,여성,41,40대,5,대학교,임시·일용근로자,취업,기타서비스,Y,5,4,15,40.0,25.0,120,0.0,10,25,155.0,1860.0,8.5,146.5,45,35,0,2,42,28,152,-5.5,146.5,146.5,23.9,35.3,1.735,"메모-0024: 생활비, 주거비 항목 재확인"
HH-2025-000025,2025,1,ED-0025,R09,경기도,면부,농촌,ST-09-면,PSU-0026,2025-04-26,인터넷,완료,단독주택,보증부월세,0,부부,2,2인,남성,42,40대,4,고등학교,상용근로자,취업,도소매·숙박,Y,5,3,5,28.5,40.5,445,0.0,0,85,530.0,6360.0,55.6,474.4,87,91,4,2,56,34,274,200.4,237.2,335.5,19.2,29.3,0.595,메모-0025: 가구원 수 변동 내용을 면접원이 확인
HH-2025-000026,2025,2,ED-0026,R10,강원특별자치도,동부,도시,ST-10-동,PSU-0063,2025-06-02,인터넷,완료,아파트,자가,3,부부+자녀,4,3~4인,여성,43,40대,5,대학교,임시·일용근로자,취업,제조업,Y,3,4,35,19.5,43.0,200,0.0,25,55,280.0,3360.0,15.4,264.6,112,40,15,2,18,50,237,27.6,66.2,132.3,15.1,30.4,0.96,메모-0026: 소득 항목은 월평균 금액으로 응답
HH-2025-000027,2025,3,ED-0027,R15,경상북도,동부,도시,ST-15-동,PSU-0100,2025-07-09,인터넷,부분응답,아파트,보증부월세,10,1인가구,1,1인,남성,44,40대,3,중학교,자영업자,취업,제조업,Y,4,3,20,44.5,39.0,0.0,250,10,0,260.0,3120.0,14.3,245.7,54,83,0,11,23,18,189,56.7,245.7,245.7,33.8,35.4,1.325,메모-0027: 온라인 조사 후 전화로 일부 항목 보완
HH-2025-000028,2025,4,ED-0028,R01,서울특별시,읍부,농촌,ST-01-읍,PSU-0137,2025-08-15,인터넷,완료,단독주택,자가,0,부부+자녀,4,3~4인,여성,45,40대,4,고등학교,비경제활동,비경제활동,,Y,5,4,5,,,0.0,0.0,45,55,100.0,1200.0,5.5,94.5,114,42,37,8,19,50,270,-175.5,23.6,47.2,44.4,31.4,1.69,메모-0028: 교육비와 보건비 영수증을 참고해 응답
HH-2025-000029,2025,1,ED-0029,R10,강원특별자치도,동부,도시,ST-10-동,PSU-0174,2025-09-21,인터넷,완료,아파트,자가,24,1인가구,1,1인,남성,46,40대,3,중학교,임시·일용근로자,취업,건설업,Y,5,4,10,53.0,45.0,115,0.0,25,115,255.0,3060.0,14.0,241.0,57,56,10,2,37,33,195,46.0,241.0,241.0,23.2,37.9,0.55,메모-0029: 응답자가 조사표 작성 기준을 확인함
HH-2025-000030,2025,2,ED-0030,R01,서울특별시,읍부,농촌,ST-01-읍,PSU-0211,2025-05-01,방문면접,완료,단독주택,자가,0,1인가구,1,1인,여성,47,40대,6,대학원,상용근로자,취업,공공·교육,Y,4,4,30,11.5,37.0,440,0.0,5,40,485.0,5820.0,50.9,434.1,54,23,0,7,32,22,138,296.1,434.1,434.1,5.3,27.5,0.915,"메모-0030: 생활비, 주거비 항목 재확인"
HH-2025-000031,2025,3,ED-0031,R01,서울특별시,면부,농촌,ST-01-면,PSU-0248,2025-06-07,인터넷,완료,기타,보증부월세,0,1인가구,1,1인,남성,48,40대,3,중학교,상용근로자,취업,기타서비스,Y,4,3,5,28.5,46.5,115,0.0,50,15,180.0,2160.0,9.9,170.1,70,68,5,2,37,29,211,-40.9,170.1,170.1,40.0,32.8,1.28,
HH-2025-000032,2025,4,ED-0032,R09,경기도,동부,도시,ST-09-동,PSU-0285,2025-07-14,인터넷,완료,단독주택,자가,0,부부,2,2인,여성,49,40대,5,대학교,비경제활동,비경제활동,,Y,5,5,10,,,0.0,0.0,5,0,5.0,60.0,0.3,4.7,57,50,0,26,19,39,191,-186.3,2.4,3.3,1063.8,32.3,1.645,메모-0032: 소득 항목은 월평균 금액으로 응답
HH-2025-000033,2025,1,ED-0033,R15,경상북도,면부,농촌,ST-15-면,PSU-0022,2025-08-20,인터넷,완료,단독주택,자가,0,1인가구,1,1인,여성,50,50대,3,중학교,무급가족종사자,취업,제조업,Y,4,4,10,28.0,49.5,0.0,70,0,60,130.0,1560.0,7.2,122.8,68,43,0,2,44,22,179,-56.2,122.8,122.8,35.0,33.2,0.505,메모-0033: 온라인 조사 후 전화로 일부 항목 보완
HH-2025-000034,2025,2,ED-0034,R01,서울특별시,읍부,농촌,ST-01-읍,PSU-0059,2025-09-26,인터넷,완료,단독주택,보증부월세,0,1인가구,1,1인,여성,51,50대,4,고등학교,상용근로자,취업,보건·복지,Y,4,3,5,5.0,33.0,360,0.0,45,40,445.0,5340.0,46.7,398.3,62,77,4,11,54,23,231,167.3,398.3,398.3,19.3,27.8,0.87,메모-0034: 교육비와 보건비 영수증을 참고해 응답
HH-2025-000035,2025,3,ED-0035,R16,경상남도,동부,도시,ST-16-동,PSU-0096,2025-05-06,방문면접,완료,단독주택,자가,0,1인가구,1,1인,남성,52,50대,4,고등학교,자영업자,취업,도소매·숙박,Y,5,4,5,26.0,48.0,0.0,270,30,95,395.0,4740.0,41.5,353.5,65,58,13,6,34,29,205,148.5,353.5,353.5,16.4,30.2,1.235,메모-0035: 응답자가 조사표 작성 기준을 확인함
HH-2025-000036,2025,4,ED-0036,R09,경기도,읍부,농촌,ST-09-읍,PSU-0133,2025-06-12,전화,완료,아파트,자가,13,부부,2,2인,남성,53,50대,5,대학교,비경제활동,비경제활동,,N,5,3,5,,,0.0,0.0,20,130,150.0,1800.0,8.2,141.8,69,54,12,11,31,34,211,-69.2,70.9,100.3,38.1,30.7,1.6,"메모-0036: 생활비, 주거비 항목 재확인"
HH-2025-000037,2025,1,ED-0037,R05,광주광역시,동부,도시,ST-05-동,PSU-0170,2025-07-19,방문면접,완료,아파트,전세,20,부부+자녀,5,5인 이상,남성,54,50대,4,고등학교,비경제활동,비경제활동,,N,4,5,5,,,0.0,0.0,40,15,55.0,660.0,3.0,52.0,143,76,62,5,19,71,376,-324.0,10.4,23.3,146.2,32.1,1.965,메모-0037: 가구원 수 변동 내용을 면접원이 확인
HH-2025-000038,2025,2,ED-0038,R15,경상북도,동부,도시,ST-15-동,PSU-0207,2025-08-25,전화,완료,아파트,월세,27,부부,2,2인,남성,55,50대,5,대학교,비경제활동,비경제활동,,N,3,4,10,,,0.0,0.0,5,75,80.0,960.0,4.4,75.6,86,110,2,31,5,47,281,-205.4,37.8,53.5,145.5,31.7,0.825,메모-0038: 소득 항목은 월평균 금액으로 응답
HH-2025-000039,2025,3,ED-0039,R16,경상남도,동부,도시,ST-16-동,PSU-0244,2025-04-04,인터넷,완료,아파트,자가,4,1인가구,1,1인,여성,56,50대,4,고등학교,비경제활동,비경제활동,,Y,3,4,5,,,0.0,0.0,0,80,80.0,960.0,4.4,75.6,41,46,2,17,8,22,136,-60.4,75.6,75.6,60.8,31.4,1.19,메모-0039: 온라인 조사 후 전화로 일부 항목 보완
HH-2025-000040,2025,4,ED-0040,R02,부산광역시,동부,도시,ST-02-동,PSU-0281,2025-05-11,전화,완료,아파트,보증부월세,11,부부+자녀,3,3~4인,여성,57,50대,4,고등학교,상용근로자,취업,보건·복지,Y,4,3,10,26.5,48.0,435,0.0,0,5,440.0,5280.0,46.2,393.8,112,102,0,16,28,56,314,79.8,131.3,227.4,25.9,30.0,1.555,메모-0040: 교육비와 보건비 영수증을 참고해 응답
HH-2025-000041,2025,1,ED-0041,R11,충청북도,면부,농촌,ST-11-면,PSU-0018,2025-06-17,인터넷,완료,단독주택,자가,0,부부+자녀,4,3~4인,여성,58,50대,4,고등학교,자영업자,취업,건설업,Y,4,4,10,23.5,38.5,0.0,185,45,10,240.0,2880.0,13.2,226.8,115,28,17,22,29,51,262,-35.2,56.7,113.4,12.3,31.5,1.92,메모-0041: 응답자가 조사표 작성 기준을 확인함
HH-2025-000042,2025,2,ED-0042,R01,서울특별시,동부,도시,ST-01-동,PSU-0055,2025-07-24,인터넷,완료,아파트,자가,25,한부모,2,2인,남성,59,50대,4,고등학교,상용근로자,취업,공공·교육,Y,4,4,10,53.5,45.5,385,0.0,20,90,495.0,5940.0,52.0,443.0,65,70,0,17,35,47,234,209.0,221.5,313.2,15.8,35.7,0.78,"메모-0042: 생활비, 주거비 항목 재확인"
HH-2025-000043,2025,3,ED-0043,R01,서울특별시,읍부,농촌,ST-01-읍,PSU-0092,2025-08-30,인터넷,완료,연립·다세대,월세,0,부부+자녀,3,3~4인,남성,60,60대,3,중학교,상용근로자,취업,공공·교육,Y,2,2,30,52.0,50.0,260,0.0,30,5,295.0,3540.0,16.2,278.8,98,66,0,9,53,52,278,0.8,92.9,161.0,23.7,37.3,1.145,메모-0043: 가구원 수 변동 내용을 면접원이 확인
HH-2025-000044,2025,4,ED-0044,R02,부산광역시,동부,도시,ST-02-동,PSU-0129,2025-04-09,전화,완료,아파트,전세,9,1인가구,1,1인,남성,61,60대,3,중학교,자영업자,취업,금융·전문서비스,N,3,1,10,37.0,44.5,0.0,365,50,0,415.0,4980.0,43.6,371.4,64,74,0,19,36,28,221,150.4,371.4,371.4,19.9,32.1,1.51,메모-0044: 소득 항목은 월평균 금액으로 응답
HH-2025-000045,2025,1,ED-0045,R11,충청북도,읍부,농촌,ST-11-읍,PSU-0166,2025-05-16,전화,완료,기타,자가,0,1인가구,1,1인,여성,62,60대,4,고등학교,무급가족종사자,취업,도소매·숙박,Y,3,3,10,18.5,38.5,0.0,45,30,130,205.0,2460.0,11.3,193.7,49,40,29,26,51,42,237,-43.3,193.7,193.7,20.7,31.2,1.875,메모-0045: 온라인 조사 후 전화로 일부 항목 보완
HH-2025-000046,2025,2,ED-0046,R09,경기도,동부,도시,ST-09-동,PSU-0203,2025-06-22,전화,완료,아파트,자가,23,1인가구,1,1인,여성,63,60대,5,대학교,비경제활동,비경제활동,,Y,4,4,45,,,0.0,0.0,30,0,30.0,360.0,1.6,28.4,63,43,17,8,20,14,165,-136.6,28.4,28.4,151.4,32.0,0.735,메모-0046: 교육비와 보건비 영수증을 참고해 응답
HH-2025-000047,2025,3,ED-0047,R01,서울특별시,동부,도시,ST-01-동,PSU-0240,2025-07-29,인터넷,완료,기타,자가,0,1인가구,1,1인,남성,64,60대,5,대학교,상용근로자,취업,금융·전문서비스,Y,5,3,5,76.0,41.0,380,0.0,15,10,455.0,5460.0,42.5,362.5,67,49,0,25,25,25,191,171.5,362.5,362.5,13.5,45.4,1.1,메모-0047: 응답자가 조사표 작성 기준을 확인함
HH-2025-000048,2025,4,ED-0048,R09,경기도,면부,농촌,ST-09-면,PSU-0277,2025-09-04,전화,완료,단독주택,보증부월세,0,부부+자녀,4,3~4인,여성,65,60대,5,대학교,자영업자,취업,금융·전문서비스,N,4,4,5,26.0,36.0,0.0,150,80,25,255.0,3060.0,14.0,241.0,126,54,4,27,32,37,280,-39.0,60.2,120.5,22.4,31.7,1.465,"메모-0048: 생활비, 주거비 항목 재확인"
HH-2025-000049,2025,1,ED-0049,R09,경기도,면부,농촌,ST-09-면,PSU-0014,2025-04-14,인터넷,완료,단독주택,월세,0,3세대,7,5인 이상,남성,66,60대,4,고등학교,임시·일용근로자,취업,정보통신,Y,4,4,5,31.0,46.5,85,0.0,50,30,165.0,1980.0,9.1,155.9,171,87,7,32,50,89,436,-280.1,22.3,58.9,55.8,33.9,1.83,메모-0049: 가구원 수 변동 내용을 면접원이 확인
HH-2025-000050,2025,2,ED-0050,R01,서울특별시,동부,도시,ST-01-동,PSU-0051,2025-05-21,방문면접,완료,아파트,전세,21,1인가구,1,1인,남성,67,60대,3,중학교,비경제활동,비경제활동,,N,3,4,5,,,0.0,0.0,10,40,50.0,600.0,2.8,47.2,65,82,26,12,21,18,224,-176.8,47.2,47.2,173.7,31.9,0.69,메모-0050: 소득 항목은 월평균 금액으로 응답
HH-2025-000051,2025,3,ED-0051,R09,경기도,읍부,농촌,ST-09-읍,PSU-0088,2025-06-27,전화,완료,단독주택,자가,0,부부+자녀,3,3~4인,여성,68,60대,4,고등학교,비경제활동,비경제활동,,N,3,5,45,,,0.0,0.0,60,40,100.0,1200.0,5.5,94.5,90,33,13,36,8,40,220,-125.5,31.5,54.6,34.9,31.3,1.055,메모-0051: 온라인 조사 후 전화로 일부 항목 보완
HH-2025-000052,2025,4,ED-0052,R03,대구광역시,읍부,농촌,ST-03-읍,PSU-0125,2025-08-03,인터넷,완료,아파트,자가,5,1인가구,1,1인,여성,69,60대,5,대학교,비경제활동,비경제활동,,Y,2,3,50,,,0.0,0.0,25,30,55.0,660.0,3.0,52.0,57,23,0,13,22,19,134,-82.0,52.0,52.0,44.2,31.6,1.42,메모-0052: 교육비와 보건비 영수증을 참고해 응답
HH-2025-000053,2025,1,ED-0053,R03,대구광역시,동부,도시,ST-03-동,PSU-0162,2025-09-09,전화,완료,단독주택,전세,0,부부+자녀,3,3~4인,여성,70,70대 이상,5,대학교,비경제활동,비경제활동,,N,3,3,5,,,0.0,0.0,70,75,145.0,1740.0,8.0,137.0,95,48,9,29,10,43,384,-247.0,45.7,79.1,35.0,31.1,1.785,메모-0053: 응답자가 조사표 작성 기준을 확인함
HH-2025-000054,2025,2,ED-0054,R15,경상북도,동부,도시,ST-15-동,PSU-0199,2025-04-19,전화,대리응답,아파트,보증부월세,19,부부,2,2인,여성,71,70대 이상,3,중학교,비경제활동,비경제활동,,N,4,3,20,,,0.0,0.0,55,5,60.0,720.0,3.3,56.7,77,88,0,27,6,41,239,-182.3,28.4,40.1,155.2,31.8,0.645,"메모-0054: 생활비, 주거비 항목 재확인"
HH-2025-000055,2025,3,ED-0055,R10,강원특별자치도,읍부,농촌,ST-10-읍,PSU-0236,2025-05-26,방문면접,완료,단독주택,자가,0,부부,2,2인,남성,72,70대 이상,4,고등학교,비경제활동,비경제활동,,N,4,4,15,,,0.0,0.0,55,0,55.0,660.0,3.0,52.0,92,18,0,26,12,40,188,-136.0,26.0,36.8,34.6,31.8,1.01,메모-0055: 가구원 수 변동 내용을 면접원이 확인
HH-2025-000056,2025,4,ED-0056,R02,부산광역시,동부,도시,ST-02-동,PSU-0273,2025-07-02,전화,완료,아파트,자가,3,부부,2,2인,남성,73,70대 이상,2,초등학교,비경제활동,비경제활동,,N,1,3,5,,,0.0,0.0,70,45,115.0,1380.0,6.3,108.7,73,34,0,24,12,33,176,-67.3,54.4,76.9,31.3,31.0,1.375,메모-0056: 소득 항목은 월평균 금액으로 응답
HH-2025-000057,2025,1,ED-0057,R16,경상남도,동부,도시,ST-16-동,PSU-0010,2025-08-08,전화,완료,아파트,자가,10,1인가구,1,1인,남성,74,70대 이상,4,고등학교,무급가족종사자,취업,금융·전문서비스,N,1,3,5,33.0,48.5,0.0,60,0,0,60.0,720.0,3.3,56.7,46,71,0,35,38,31,221,-164.3,56.7,56.7,125.2,35.0,1.74,메모-0057: 온라인 조사 후 전화로 일부 항목 보완
HH-2025-000058,2025,2,ED-0058,R12,충청남도,면부,농촌,ST-12-면,PSU-0047,2025-09-14,방문면접,완료,단독주택,자가,0,1인가구,1,1인,남성,75,70대 이상,4,고등학교,임시·일용근로자,취업,보건·복지,N,3,4,10,25.5,32.5,130,0.0,70,50,250.0,3000.0,13.8,236.2,59,41,1,32,31,14,178,58.2,236.2,236.2,17.4,31.5,0.6,메모-0058: 교육비와 보건비 영수증을 참고해 응답
HH-2025-000059,2025,3,ED-0059,R04,인천광역시,동부,도시,ST-04-동,PSU-0084,2025-04-24,전화,완료,단독주택,전세,0,1인가구,1,1인,남성,76,70대 이상,5,대학교,비경제활동,비경제활동,,Y,4,4,10,,,0.0,0.0,0,85,85.0,1020.0,4.7,80.3,65,71,0,25,19,22,202,-46.7,80.3,80.3,88.4,31.4,0.965,메모-0059: 응답자가 조사표 작성 기준을 확인함
